ID,IMSI,IMEI,Citizenship No.,First Name,Last Name,Gender,DOB,Age,Maritial status,Phone no ,Type,Zone,Development Region,District,Latitude,Longitude,E-mail,Subscription date,Start date,End date,SMS,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Total_calls,Total_charge
21,'429014695284132,'584451121922401,671148997,Betty,Garza,Female,12/24/1993,24,0,9851420257,POSTPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Betty.Garza@gmail.com,2/14/2012,20160101,20160113,0,78,36.45,100,19.99,107,9.28,285,65.72
22,'429014638555369,'788215362504375,609578495,Elizabeth,Meyer,Female,9/27/1978,39,1,9844496277,PREPAID,Bagmati,Central,Kavrepalanchok,27.5259 N,85.5612 E,Elizabeth.Meyer@gmail.com,4/15/2012,20160101,20160118,0,117,22.12,61,16.66,123,6.27,301,45.05
23,'429013632459599,'314791906895578,365879530,Phillip,Larson,Male,7/2/1992,25,0,9841653946,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Phillip.Larson@gmail.com,4/10/2014,20160101,20160127,0,102,35.79,83,17.38,53,5.75,238,58.92
24,'429017597614118,'800856114899792,556785538,Howard,Walker,Male,11/14/1985,32,1,9851512740,POSTPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Howard.Walker@gmail.com,12/25/2002,20160101,20160110,0,79,26.69,94,8.76,96,9.53,269,44.98
25,'429016145078693,'588751690281615,287696324,Jean,Carpenter,Female,1/14/1966,51,1,9848697915,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Jean.Carpenter@yahoo.com,7/20/2012,20160101,20160129,10,133,43.25,96,13.74,91,11.31,320,68.3
26,'429019738759980,'150567103736911,327253914,Brenda,Barnes,Female,4/6/1981,36,1,9851203032,POSTPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Brenda.Barnes@yahoo.com,11/6/2002,20160101,20160113,0,55,44.61,113,16.54,85,6.59,253,67.74
27,'429015642695977,'310180017015105,770070622,Sean,Ray,Male,4/14/1962,55,1,9845545783,PREPAID,Lumbini,Western,Gulmi,28.0889 N,83.2934 E,Sean.Ray@hotmail.com,5/26/2006,20160101,20160128,0,96,21.9,71,8.92,128,6.35,295,37.17
28,'429013877163053,'286270032410460,798371753,Todd,Graham,Male,8/11/1998,19,0,9845768996,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Todd.Graham@gmail.com,4/17/2015,20160101,20160126,0,120,29.65,98,13.29,121,6.14,339,49.08
29,'429018216479289,'677145064446050,768013446,Phyllis,Snyder,Female,8/14/1980,37,1,9843699679,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Phyllis.Snyder@gmail.com,8/10/2009,20160101,20160119,0,105,42.76,104,18.09,67,7.1,276,67.95
30,'429013484977131,'188618985304188,821499999,Bonnie,Clark,Female,9/18/1991,26,0,9848375292,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Bonnie.Clark@yahoo.com,10/2/2007,20160101,20160111,0,101,30.41,110,14.37,100,6.69,311,51.47
31,'429013395610188,'752950540198916,865453430,Linda,Willis,Female,7/29/1985,32,1,9848128080,PREPAID,Lumbini,Western,Nawalparasi,27.6498 N,83.8897 E,Linda.Willis@hotmail.com,3/13/2009,20160101,20160115,6,111,46.26,118,22.82,105,9.62,334,78.7
32,'429012272075298,'792162732118455,304788871,Tina,Gutierrez,Female,3/6/1989,28,0,9845533575,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Tina.Gutierrez@yahoo.com,6/24/2005,20160101,20160124,0,125,10.01,59,14.42,88,9.51,272,33.94
33,'429019258961545,'280904282177658,851694219,Irene,Hernandez,Female,11/10/1998,19,0,9843213734,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Irene.Hernandez@gmail.com,9/24/2015,20160101,20160119,0,87,39.25,90,15.93,53,6.93,230,62.11
34,'429017752187328,'785196605789773,357106247,Sarah,Morgan,Female,8/12/1959,58,1,9843776622,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Sarah.Morgan@gmail.com,2/10/2002,20160101,20160120,0,72,42.81,126,17.48,109,12.38,307,72.67
35,'429019657851865,'507046806570849,257765025,Aaron,Willis,Male,5/6/1979,38,1,9844955952,PREPAID,Lumbini,Western,Kapilvastu ,27.6542 N,82.9932 E,Aaron.Willis@hotmail.com,9/19/2012,20160101,20160117,8,123,27.47,103,16.62,103,11.45,329,55.54
36,'429016892695478,'411598805799834,712279013,Nancy,Johnson,Female,1/26/1975,42,1,9841054401,PREPAID,seti,Far-Western,Bajura,29.6155 N,81.6035 E,Nancy.Johnson@hotmail.com,2/1/2004,20160101,20160129,0,104,39,84,21.88,119,10.42,307,71.3
37,'429011529005721,'219765203018376,412893699,Maria,Schmidt,Female,7/16/1991,26,0,9841482679,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Maria.Schmidt@yahoo.com,7/30/2015,20160101,20160126,6,115,36.21,112,16.24,115,8.22,342,60.67
38,'429011094472863,'292312231542717,525465242,Ruth,Ruiz,Female,6/3/1976,41,1,9842127216,PREPAID,Bagmati,Central,Sindhupalchok,27.9512 N,85.6846 E,Ruth.Ruiz@gmail.com,7/29/2003,20160101,20160120,0,90,47.57,91,21.14,118,7.69,299,76.4
39,'429016906870694,'506657306209573,359922579,Cynthia,Foster,Female,10/2/1980,37,1,9847136729,PREPAID,Bheri,Mid-Western,Bardiya,28.3102 N,81.4279 E,Cynthia.Foster@hotmail.com,11/13/2005,20160101,20160128,0,110,33.22,109,15.4,105,8.03,324,56.65
40,'429011999549969,'213745380749480,605342610,Martin,Elliott,Male,4/5/1967,50,1,9851408105,POSTPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Martin.Elliott@yahoo.com,7/3/2010,20160101,20160110,0,104,36.62,79,17.41,109,12.53,292,66.56
41,'429018005119365,'340937667279781,201736510,Clarence,Lewis,Male,5/24/1979,38,1,9851139727,POSTPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Clarence.Lewis@gmail.com,3/7/2002,20160101,20160121,8,133,31.79,74,11.44,127,10.9,334,54.13
42,'429018722799415,'111896409159306,633355230,Jerry,Powell,Male,11/27/1993,24,0,9845979672,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Jerry.Powell@gmail.com,5/20/2010,20160101,20160127,0,122,29.99,123,19.12,50,9.88,295,58.99
43,'429012072539304,'742607949222871,943202513,Eugene,Adams,Male,4/9/1985,32,1,9848869606,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Eugene.Adams@gmail.com,12/2/2011,20160101,20160115,6,106,54.83,93,17.39,128,8.38,327,80.6
44,'429017516401963,'171473455300572,931793351,Cheryl,Williams,Female,9/1/1986,31,1,9851674664,POSTPAID,Lumbini,Western,Arghakhanchi,27.9829 N,83.0361 E,Cheryl.Williams@hotmail.com,5/20/2008,20160101,20160124,0,97,28.7,87,18.73,113,6.94,297,54.37
45,'429014219006139,'378813053735981,320520653,Ryan,Wright,Male,4/27/1989,28,0,9848205595,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Ryan.Wright@gmail.com,9/26/2006,20160101,20160115,6,98,43.64,120,12.79,87,5.54,305,61.97
46,'429012840157829,'349609011824635,400045062,Annie,Hayes,Female,9/11/1990,27,0,9848599333,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Annie.Hayes@gmail.com,3/28/2011,20160101,20160111,0,111,35.22,137,21.6,92,7.62,340,64.44
47,'429016120802096,'759001852564452,889467502,Thomas,Young,Male,5/12/1959,58,1,9843208904,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Thomas.Young@gmail.com,5/12/2012,20160101,20160116,0,117,22.12,61,16.66,123,6.27,301,45.05
48,'429012462176817,'133645727893163,132173116,Christina,Frazier,Female,2/26/1989,28,0,9843130489,PREPAID,Narayani,Central,Makwanpur,27.5546 N,85.0233 E,Christina.Frazier@gmail.com,4/3/2010,20160101,20160115,7,98,28.93,102,13.19,76,10.29,276,52.41
49,'429011660530956,'534949738997969,149111675,Jesse,Morales,Male,8/7/1968,49,1,9851285828,POSTPAID,Bagmati,Central,Kavrepalanchok,27.5259 N,85.5612 E,Jesse.Morales@gmail.com,11/21/2007,20160101,20160122,0,93,21.28,119,17.54,139,5.82,351,44.64
50,'429014656281463,'863338948445960,182022441,Beverly,Murphy,Female,8/19/1980,37,1,9847226869,PREPAID,Bagmati,Central,Dhading,27.9711 N,84.8985 E,Beverly.Murphy@gmail.com,6/17/2014,20160101,20160121,8,88,47.79,103,16.83,76,4.24,267,68.86
51,'429012913920190,'669433757916008,693230977,Teresa,Henderson,Female,2/16/1990,27,0,9841271291,PREPAID,seti,Far-Western,Bajura,29.6155 N,81.6035 E,Teresa.Henderson@hotmail.com,4/26/2006,20160101,20160116,0,88,35.29,63,11.25,98,11.48,249,58.02
52,'429018050310191,'384969880834892,376296803,Mark,Phillips,Male,7/19/1963,54,1,9851592465,POSTPAID,Janakpur,Central,Sarlahi,26.9627 N,85.5612 E,Mark.Phillips@gmail.com,12/25/2002,20160101,20160130,0,68,11.51,86,16.63,137,10.64,291,38.78
53,'429019722147540,'550678267630449,442739484,Jerry,Welch,Male,11/1/1991,26,0,9843242298,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Jerry.Welch@gmail.com,6/26/2007,20160101,20160124,0,105,35.68,105,10.36,104,11.42,314,57.46
54,'429019803094837,'808879903458566,632928025,Andrea,Rodriguez,Female,5/1/2001,16,0,9842228542,PREPAID,Bagmati,Central,Sindhupalchok,27.9512 N,85.6846 E,Andrea.Rodriguez@gmail.com,11/10/2016,20160101,20160128,0,94,34.85,103,14.06,81,8.32,278,57.23
55,'429017550752810,'354634638314517,704757691,Theresa,Bell,Female,6/15/1983,34,1,9849569164,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Theresa.Bell@gmail.com,9/22/2016,20160101,20160115,8,103,21.39,96,17.65,143,9.33,342,48.37
56,'429016547380835,'476707341641633,153697598,Anna,Simmons,Female,4/23/1996,21,0,9851689348,POSTPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Anna.Simmons@gmail.com,2/19/2016,20160101,20160127,0,124,31.88,103,12.46,129,10.16,356,54.5
57,'429011500592304,'602992576655906,462547072,Amy,Rivera,Female,6/11/1978,39,1,9851875557,POSTPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Amy.Rivera@yahoo.com,10/13/2013,20160101,20160111,0,89,21.61,116,14.63,111,8.76,316,45
58,'429019289816273,'281113275824000,770789071,Eugene,Owens,Male,7/10/1992,25,0,9847253255,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Eugene.Owens@gmail.com,10/6/2010,20160101,20160117,11,120,40.38,94,21.54,80,11.93,294,73.85
59,'429018212929367,'700688941426149,721445676,Lillian,Wright,Female,7/7/1984,33,1,9845073189,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Lillian.Wright@gmail.com,1/28/2004,20160101,20160130,0,107,33.12,99,14.53,93,10.13,299,57.78
60,'429018272185768,'427173103257446,983892781,Lisa,Wheeler,Female,12/14/1975,42,1,9845783111,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Lisa.Wheeler@yahoo.com,7/4/2002,20160101,20160110,0,145,25.4,105,16.7,108,9.43,358,51.53
61,'429013314579654,'809269144767253,241717754,Kenneth,Austin,Male,8/4/1994,23,0,9848354736,PREPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Kenneth.Austin@gmail.com,2/18/2015,20160101,20160110,0,114,27.4,83,21.44,92,7.21,289,56.05
62,'429012129463571,'339986000065675,951186833,Irene,Flores,Female,10/2/2000,17,0,9847972458,PREPAID,Gandaki,Western,Tanahun,27.9447 N,84.2279 E,Irene.Flores@yahoo.com,9/21/2016,20160101,20160127,8,129,30.86,112,11.11,118,8.39,359,50.36
63,'429013858086768,'814770181610406,472519169,Jack,George,Male,10/12/1987,30,1,9851660140,POSTPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Jack.George@gmail.com,1/29/2002,20160101,20160110,0,98,16.59,118,8.97,105,9.91,321,35.47
64,'429012511228756,'997379185273489,152884732,Roger,Lawrence,Male,9/6/1984,33,1,9846542276,PREPAID,Lumbini,Western,Gulmi,28.0889 N,83.2934 E,Roger.Lawrence@yahoo.com,7/23/2012,20160101,20160125,0,111,29.24,64,17.02,96,10.49,271,56.75
65,'429013619483158,'591452020548393,521730504,Philip,Collins,Male,5/1/1959,58,1,9851211681,POSTPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Philip.Collins@yahoo.com,10/13/2012,20160101,20160116,7,111,27.3,126,13.87,112,8.42,349,49.59
66,'429013084263568,'545999483357070,100584861,Gerald,Hayes,Male,3/22/1966,51,1,9847363530,PREPAID,seti,Far-Western,Achham,29.0396 N,81.2519 E,Gerald.Hayes@hotmail.com,4/26/2005,20160101,20160125,0,118,23.38,88,17.27,131,6.75,337,47.4
67,'429012939391921,'677178057576925,725097959,Cheryl,Turner,Female,11/11/1996,21,0,9845148420,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Cheryl.Turner@gmail.com,10/21/2016,20160101,20160117,0,113,28.34,122,12.61,121,8.41,356,49.36
68,'429016618438783,'634213517044179,950872734,Judy,Little,Female,12/13/1963,54,1,9851372641,POSTPAID,Dhaulagiri,Western,Baglung,28.3683 N,83.2934 E,Judy.Little@yahoo.com,10/20/2013,20160101,20160129,0,86,13.79,72,20.84,115,10.67,273,45.3
69,'429011835954598,'414000315021388,181895266,Paul,Hunt,Male,7/10/1999,18,0,9847120174,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Paul.Hunt@gmail.com,10/26/2014,20160101,20160122,7,94,38.39,117,16.41,100,10.46,311,65.26
70,'429019217324178,'684147623534522,506830883,Charles,Howell,Male,10/10/1958,59,1,9846233358,PREPAID,Lumbini,Western,Kapilvastu ,27.6542 N,82.9932 E,Charles.Howell@hotmail.com,1/13/2016,20160101,20160110,0,86,23.43,76,24.34,77,7.52,239,55.29
71,'429018226885206,'809458722904935,210597358,Julie,Carroll,Female,6/29/1993,24,0,9851652739,POSTPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Julie.Carroll@gmail.com,11/1/2012,20160101,20160127,0,114,30.75,118,17.81,105,11.25,337,59.81
72,'429018318174854,'627672011352233,762187259,Jack,Franklin,Male,8/19/1986,31,0,9849726960,PREPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Jack.Franklin@gmail.com,4/25/2009,20160101,20160122,0,93,26.4,95,22.58,67,6.56,255,55.54
73,'429015589325683,'351610062120433,952167072,Denise,Watkins,Female,4/7/1977,40,1,9851203591,POSTPAID,Janakpur,Central,Dholkha,27.7784 N,86.1752 E,Denise.Watkins@gmail.com,10/7/2004,20160101,20160120,0,98,9.71,78,16.97,103,12.36,279,39.04
74,'429014593116235,'217505402718666,397904359,Christina,Mccoy,Female,2/30/1979,38,1,9842667220,PREPAID,Rapti,Mid-Western,Rukum,28.7434 N ,82.4753 E,Christina.Mccoy@hotmail.com,2/18/2010,20160101,20160116,8,100,37.57,113,13.66,96,10.49,309,61.72
75,'429018466167917,'255041235011114,676337640,Shirley,Murphy,Female,8/4/1998,19,0,9845042825,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Shirley.Murphy@gmail.com,12/11/2016,20160101,20160129,12,70,20.52,76,26.11,99,9.14,245,55.77
76,'429012503684573,'267602866670321,176842846,Willie,Chavez,Male,3/6/1937,80,1,9846948748,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Willie.Chavez@yahoo.com,5/23/2004,20160101,20160129,0,70,25.3,164,20.95,103,5.84,337,52.09
77,'429018905152533,'467304546420564,163459616,Roy,Foster,Male,6/21/1995,22,0,9847325162,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Roy.Foster@yahoo.com,9/24/2014,20160101,20160114,0,114,30.75,118,17.81,105,11.25,337,59.81
78,'429017513585247,'768298073536520,989109143,Mark,Jones,Male,7/17/1968,49,1,9845042886,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Mark.Jones@yahoo.com,1/25/2010,20160101,20160123,0,114,30.75,118,17.81,105,11.25,337,59.81
79,'429011726712123,'549229219744507,972701624,Stephanie,Garrett,Female,4/13/1986,31,1,9849251300,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Stephanie.Garrett@yahoo.com,7/22/2016,20160101,20160116,0,97,23.17,108,14.64,101,6.19,306,44
80,'429017895595515,'880705328590381,590650861,Roger,Fernandez,Male,3/26/1990,27,0,9846383243,PREPAID,Dhaulagiri,Western,Mustang,28.9985 N,83.8473 E,Roger.Fernandez@yahoo.com,3/25/2014,20160101,20160127,0,79,26.38,123,20,80,7.62,282,54
81,'429011694941709,'738282326399540,754954753,Denise,Alexander,Female,7/14/1999,18,0,9849494797,PREPAID,Mechi,Eastern,Ilam,26.8760 N,87.9335 E,Denise.Alexander@gmail.com,5/15/2014,20160101,20160124,5,70,35.97,80,18.44,60,6.91,210,61.32
82,'429011138950259,'324852984653029,441617018,Nicholas,Carr,Male,2/10/1988,29,1,9846486405,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Nicholas.Carr@gmail.com,3/10/2008,20160101,20160116,10,114,34.94,99,18.64,95,9.72,308,63.3
83,'429017560194712,'555702854178826,156656389,Melissa,Griffin,Female,7/22/1960,57,1,9851769009,POSTPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Melissa.Griffin@yahoo.com,9/28/2014,20160101,20160110,0,114,30.75,118,17.81,105,11.25,337,59.81
84,'429018940722475,'582614246801976,168976697,Phyllis,Nguyen,Female,9/19/1995,22,0,9849802285,PREPAID,Bagmati,Central,Nuwakot,27.8866 N,85.1479 E,Phyllis.Nguyen@gmail.com,7/19/2016,20160101,20160126,8,119,25.45,115,15.49,126,11.77,360,52.71
85,'429017975763701,'126765515789440,948635558,Edward,Brown,Male,5/17/1992,25,0,9851916440,POSTPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Edward.Brown@gmail.com,4/12/2007,20160101,20160127,0,70,33.2,108,18.42,119,11.7,297,63.32
86,'429018245844870,'441882605773107,112380723,Robin,Hughes,Female,5/13/1961,56,1,9851350392,POSTPAID,Bagmati,Central,Nuwakot,27.8866 N,85.1479 E,Robin.Hughes@gmail.com,1/21/2008,20160101,20160112,7,112,27.71,89,18.62,66,10.5,267,56.83
87,'429019376612226,'841989253574950,228844080,Roy,Gray,Male,5/19/1970,47,1,9841570690,PREPAID,Rapti,Mid-Western,Pyuthan,28.1017 N,82.8533 E,Roy.Gray@hotmail.com,12/7/2016,20160101,20160123,0,94,32.11,104,17.33,124,6.83,322,56.27
88,'429013244885312,'282336407453564,492441088,Earl,Richards,Male,7/14/1972,45,1,9846717177,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Earl.Richards@yahoo.com,11/21/2012,20160101,20160130,0,92,33.15,83,17.89,92,8.13,267,59.17
89,'429018122212493,'805784493775016,959338138,Frank,West,Male,10/29/1976,41,1,9841145361,PREPAID,Mechi,Eastern,Jhapa ,26.6398 N,87.8942 E,Frank.West@gmail.com,9/28/2011,20160101,20160115,0,116,35.82,86,18.63,83,8.09,285,62.54
90,'429013966941807,'439336553388654,885286351,Judith,Bailey,Female,8/29/1992,25,0,9843304628,PREPAID,Lumbini,Western,Nawalparasi,27.6498 N,83.8897 E,Judith.Bailey@hotmail.com,11/1/2012,20160101,20160116,0,89,17.44,77,20.91,140,7.67,306,46.02
91,'429016037969768,'177280243656372,412105634,Harold,Lewis,Male,8/7/1947,70,1,9845120110,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Harold.Lewis@yahoo.com,10/4/2006,20160101,20160115,0,110,31.88,94,14.43,127,7.89,331,54.2
92,'429015040495212,'693477703757064,811292076,John,Medina,Male,6/18/1951,66,1,9851262212,POSTPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,John.Medina@yahoo.com,3/11/2001,20160101,20160122,0,110,33.49,102,18.94,91,10.14,303,62.57
93,'429015021935081,'930797748020762,986130825,Jane,Kennedy,Female,1/9/1964,53,1,9846350884,PREPAID,Mahakali,Far-Western,Baitadi ,29.5013 N,80.5883 E,Jane.Kennedy@hotmail.com,8/1/2008,20160101,20160124,6,102,19.43,103,16.18,111,10.82,316,46.43
94,'429019862696573,'255614333608288,772561761,Ashley,Fuller,Female,1/26/1983,34,1,9847872687,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Ashley.Fuller@gmail.com,1/2/2001,20160101,20160128,0,134,23.02,85,17.5,103,9.18,322,49.7
95,'429011316478142,'904311002128713,747384382,Mark,Greene,Male,11/25/1959,58,1,9851306236,POSTPAID,Lumbini,Western,Nawalparasi,27.6498 N,83.8897 E,Mark.Greene@hotmail.com,12/20/2003,20160101,20160117,0,123,26.5,112,19.06,116,9.95,351,55.51
96,'429013983991298,'898471722909284,124044672,George,Nichols,Male,2/17/2001,16,0,9843319808,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,George.Nichols@gmail.com,2/5/2016,20160101,20160111,0,104,36.62,79,17.41,109,12.53,292,66.56
97,'429015956896497,'523826605571637,292881152,Anne,Bailey,Female,1/12/1948,69,1,9843025740,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Anne.Bailey@yahoo.com,12/17/2009,20160101,20160128,0,90,24.48,100,15.44,93,5.76,283,45.68
